过账日期,工厂编码,物料编码,物料品牌,物料类型,物料品类,库存量
2018-01-24,2004,1121,5001,3004,4020,0.30000000000000004
2018-01-24,2005,1019,5000,3002,4014,2.08
2018-01-24,2005,1027,5001,3002,4014,1.4900000000000009
2018-01-24,2005,1031,5001,3002,4010,25.03
2018-01-24,2005,1034,5001,3002,4009,4.5600000000000005
2018-01-24,2005,1037,5001,3002,4002,32.93000000000001
2018-01-24,2005,1038,5001,3002,4006,9.099999999999998
2018-01-24,2005,1040,5001,3002,4014,0.3700000000000001
2018-01-24,2005,1042,5001,3002,4006,12.989999999999998
2018-01-24,2005,1044,5001,3002,4008,10.499999999999998
2018-01-24,2005,1048,5001,3002,4014,0.26
2018-01-24,2005,1051,5001,3002,4013,18.589999999999982
2018-01-24,2005,1053,5001,3002,4006,5.85
2018-01-24,2005,1054,5001,3002,4010,110.8
2018-01-24,2005,1104,5001,3001,4018,0.5499999999999999
2018-01-24,2005,1125,5001,3003,4022,3.3400000000000003
2018-01-24,2006,1027,5001,3002,4014,2.0900000000000007
2018-01-24,2006,1029,5001,3002,4006,7.839999999999997
2018-01-24,2006,1031,5001,3002,4010,29.87
2018-01-24,2006,1038,5001,3002,4006,1.15
2018-01-24,2006,1040,5001,3002,4014,0.21
2018-01-24,2006,1042,5001,3002,4006,2.41
2018-01-24,2006,1044,5001,3002,4008,5.0699999999999985
2018-01-24,2006,1048,5001,3002,4014,0.32
2018-01-24,2006,1049,5001,3002,4014,0.12
2018-01-24,2006,1051,5001,3002,4013,9.620000000000003
2018-01-24,2006,1053,5001,3002,4006,4.4
2018-01-24,2006,1054,5001,3002,4010,67.28
2018-01-24,2006,1091,5010,3002,4010,11.02
2018-01-24,2006,1104,5001,3001,4018,0.8099999999999999
2018-01-24,2006,1167,5001,3003,4023,1.79
2018-01-24,2006,1168,5001,3003,4023,9.41
2018-01-24,2006,1169,5001,3003,4023,53.06
2018-01-24,2006,1171,5001,3003,4023,18.06
2018-01-24,2007,1001,5000,3002,4006,1.59
2018-01-24,2007,1003,5000,3002,4005,7.25
2018-01-24,2007,1010,5000,3002,4013,0.64
2018-01-24,2007,1012,5000,3002,4008,0.07
2018-01-24,2007,1027,5001,3002,4014,0.3900000000000001
2018-01-24,2007,1029,5001,3002,4006,1.5700000000000005
2018-01-24,2007,1031,5001,3002,4010,117.97999999999996
2018-01-24,2007,1034,5001,3002,4009,14.79
2018-01-24,2007,1037,5001,3002,4002,26.04000000000001
2018-01-24,2007,1038,5001,3002,4006,23.57000000000001
2018-01-24,2007,1040,5001,3002,4014,0.8800000000000003
2018-01-24,2007,1042,5001,3002,4006,3.8
2018-01-24,2007,1044,5001,3002,4008,8.569999999999997
2018-01-24,2007,1051,5001,3002,4013,20.59
2018-01-24,2007,1054,5001,3002,4010,84.38999999999996
2018-01-24,2007,1067,5008,3002,4013,0.13
2018-01-24,2008,1000,5000,3002,4014,0.08
2018-01-24,2008,1001,5000,3002,4006,0.5
2018-01-24,2008,1003,5000,3002,4005,6.39
2018-01-24,2008,1010,5000,3002,4013,0.52
2018-01-24,2008,1012,5000,3002,4008,0.71
2018-01-24,2008,1027,5001,3002,4014,0.5
2018-01-24,2008,1031,5001,3002,4010,99.48999999999997
2018-01-24,2008,1034,5001,3002,4009,6.03
2018-01-24,2008,1037,5001,3002,4002,16.440000000000005
2018-01-24,2008,1038,5001,3002,4006,19.780000000000005
2018-01-24,2008,1040,5001,3002,4014,2.74
2018-01-24,2008,1044,5001,3002,4008,12.259999999999994
2018-01-24,2008,1045,5001,3002,4008,0.71
2018-01-24,2008,1051,5001,3002,4013,16.469999999999995
2018-01-24,2008,1052,5001,3002,4013,1.44
2018-01-24,2008,1054,5001,3002,4010,73.54
2018-01-24,2008,1060,5007,3002,4006,2.41
2018-01-24,2008,1061,5007,3002,4005,43.70000000000001
2018-01-24,2008,1062,5007,3002,4014,0.12
2018-01-24,2008,1063,5007,3002,4008,1.6200000000000006
2018-01-24,2008,1066,5007,3002,4013,2.4800000000000004
2018-01-24,2008,1083,5010,3002,4008,1.3800000000000003
2018-01-24,2008,1089,5010,3002,4013,2.1699999999999995
2018-01-24,2008,1091,5010,3002,4010,60.00000000000001
2018-01-24,2009,1003,5000,3002,4005,0.16
2018-01-24,2009,1010,5000,3002,4013,0.08
2018-01-24,2009,1029,5001,3002,4006,0.34
2018-01-24,2009,1031,5001,3002,4010,20.83
2018-01-24,2009,1034,5001,3002,4009,11.16
2018-01-24,2009,1037,5001,3002,4002,6.320000000000002
2018-01-24,2009,1038,5001,3002,4006,3.37
2018-01-24,2009,1040,5001,3002,4014,0.42
2018-01-24,2009,1044,5001,3002,4008,3.679999999999999
2018-01-24,2009,1051,5001,3002,4013,6.799999999999999
2018-01-24,2009,1054,5001,3002,4010,55.98
2018-01-24,2009,1091,5010,3002,4010,2.95
2018-01-24,2009,1125,5001,3003,4022,15.17
2018-01-24,2009,1157,5001,3003,4012,7.519999999999999
2018-01-24,2009,1159,5001,3003,4001,74.74
2018-01-24,2010,1000,5000,3002,4014,0.05
2018-01-24,2010,1001,5000,3002,4006,2.2
2018-01-24,2010,1003,5000,3002,4005,21.77
2018-01-24,2010,1010,5000,3002,4013,2.44
2018-01-24,2010,1014,5000,3002,4008,1.37
2018-01-24,2010,1027,5001,3002,4014,0.8200000000000003
2018-01-24,2010,1029,5001,3002,4006,14.119999999999996
2018-01-24,2010,1031,5001,3002,4010,129.29
2018-01-24,2010,1033,5001,3002,4002,1.5100000000000002
2018-01-24,2010,1034,5001,3002,4009,13.850000000000005
2018-01-24,2010,1037,5001,3002,4002,24.09
2018-01-24,2010,1038,5001,3002,4006,28.92999999999999
2018-01-24,2010,1040,5001,3002,4014,1.980000000000001
2018-01-24,2010,1042,5001,3002,4006,5.74
2018-01-24,2010,1044,5001,3002,4008,23.27999999999999
2018-01-24,2010,1051,5001,3002,4013,42.65000000000001
2018-01-24,2010,1052,5001,3002,4013,3.63
2018-01-24,2010,1054,5001,3002,4010,337.55999999999983
2018-01-24,2010,1060,5007,3002,4006,3.41
2018-01-24,2010,1061,5007,3002,4005,17.4
2018-01-24,2010,1062,5007,3002,4014,0.03
2018-01-24,2010,1074,5010,3002,4010,3.74
2018-01-24,2010,1077,5010,3002,4002,1.57
2018-01-24,2010,1091,5010,3002,4010,21.920000000000005
2018-01-24,2010,1143,5010,3003,4011,11.389999999999995
2018-01-24,2010,1144,5010,3003,4000,19.66
2018-01-24,2010,1145,5010,3003,4000,108.3
2018-01-24,2010,1146,5010,3003,4000,14.380000000000004
2018-01-24,2010,1184,5010,3003,4012,7.68
2018-01-24,2010,1186,5010,3003,4001,186.02000000000004
2018-01-24,2011,1019,5000,3002,4014,1.9500000000000004
2018-01-24,2011,1020,5000,3002,4006,5.92
2018-01-24,2011,1021,5000,3002,4006,0.69
2018-01-24,2011,1022,5000,3002,4008,15.910000000000002
2018-01-24,2011,1023,5000,3002,4013,10.23
2018-01-24,2011,1027,5001,3002,4014,3.829999999999997
2018-01-24,2011,1029,5001,3002,4006,34.53
2018-01-24,2011,1031,5001,3002,4010,94.14
2018-01-24,2011,1037,5001,3002,4002,51.69
2018-01-24,2011,1038,5001,3002,4006,41.519999999999975
2018-01-24,2011,1040,5001,3002,4014,5.439999999999993
2018-01-24,2011,1042,5001,3002,4006,38.5
2018-01-24,2011,1044,5001,3002,4008,21.64
2018-01-24,2011,1051,5001,3002,4013,14.419999999999998
2018-01-24,2011,1053,5001,3002,4006,16.529999999999994
2018-01-24,2011,1054,5001,3002,4010,289.79
2018-01-24,2011,1060,5007,3002,4006,3.3199999999999994
2018-01-24,2011,1061,5007,3002,4005,11.11
2018-01-24,2011,1065,5007,3002,4010,3.27
2018-01-24,2011,1074,5010,3002,4010,19.96
2018-01-24,2011,1077,5010,3002,4002,13.550000000000004
2018-01-24,2011,1078,5010,3002,4006,6.049999999999999
2018-01-24,2011,1080,5010,3002,4014,0.3300000000000001
2018-01-24,2011,1090,5010,3002,4006,7.650000000000001
2018-01-24,2011,1091,5010,3002,4010,62.12000000000001
2018-01-24,2011,1095,5011,3002,4010,0.81
2018-01-24,2011,1098,5001,3001,4004,7.809999999999999
2018-01-24,2011,1099,5010,3001,4004,2.64
2018-01-24,2011,1100,5001,3001,4004,8.789999999999997
2018-01-24,2011,1101,5001,3001,4004,29.139999999999993
2018-01-24,2011,1102,5001,3001,4004,38.72000000000003
2018-01-24,2011,1103,5001,3001,4018,9.65
2018-01-24,2011,1104,5001,3001,4018,33.46
2018-01-24,2011,1106,5007,3001,4004,0.26
2018-01-24,2011,1107,5007,3001,4004,1.27
2018-01-24,2011,1108,5010,3001,4004,7.790000000000003
2018-01-24,2011,1109,5010,3001,4018,1.83
2018-01-24,2011,1110,5010,3001,4018,13.139999999999995
2018-01-24,2011,1114,5001,3004,4020,0.06000000000000001
2018-01-24,2011,1120,5001,3004,4020,0.07
2018-01-24,2012,1004,5000,3002,4005,1.76
2018-01-24,2012,1013,5000,3002,4008,2.05
2018-01-24,2012,1027,5001,3002,4014,0.9800000000000004
2018-01-24,2012,1029,5001,3002,4006,7.159999999999998
2018-01-24,2012,1031,5001,3002,4010,21.640000000000004
2018-01-24,2012,1034,5001,3002,4009,24.64
2018-01-24,2012,1037,5001,3002,4002,17.489999999999995
2018-01-24,2012,1038,5001,3002,4006,5.499999999999999
2018-01-24,2012,1040,5001,3002,4014,0.51
2018-01-24,2012,1042,5001,3002,4006,3.93
2018-01-24,2012,1044,5001,3002,4008,5.07
2018-01-24,2012,1051,5001,3002,4013,4.469999999999998
2018-01-24,2012,1053,5001,3002,4006,3.39
2018-01-24,2012,1054,5001,3002,4010,31.11
2018-01-24,2012,1061,5007,3002,4005,0.93
2018-01-24,2012,1065,5007,3002,4010,3.88
2018-01-24,2012,1104,5001,3001,4018,6.600000000000001
2018-01-24,2014,1138,5010,3003,4022,1.5
2018-01-24,2014,1139,5010,3003,4022,4.59
2018-01-24,2014,1140,5010,3003,4022,1.23
2018-01-24,2014,1141,5010,3003,4022,6.09
2018-01-24,2014,1174,5005,3003,4023,0.9000000000000001
2018-01-24,2014,1175,5005,3003,4001,45.28000000000002
2018-01-24,2014,1178,5005,3003,4023,34.84
2018-01-24,2014,1179,5005,3003,4023,73.72999999999998
2018-01-24,2014,1180,5005,3003,4023,15.72
2018-01-24,2014,1181,5005,3003,4023,239.43999999999988
2018-01-24,2014,1182,5005,3003,4023,43.44999999999999
2018-01-24,2014,1184,5010,3003,4012,0.03
2018-01-24,2014,1186,5010,3003,4001,51.37000000000001
2018-01-24,2015,1001,5000,3002,4006,0.1
2018-01-24,2015,1003,5000,3002,4005,4.990000000000001
2018-01-24,2015,1022,5000,3002,4008,0.16999999999999998
2018-01-24,2015,1023,5000,3002,4013,0.8
2018-01-24,2015,1027,5001,3002,4014,1.1200000000000006
2018-01-24,2015,1037,5001,3002,4002,14.890000000000002
2018-01-24,2015,1045,5001,3002,4008,2.6
2018-01-24,2015,1049,5001,3002,4014,0.18
2018-01-24,2015,1052,5001,3002,4013,11.03
2018-01-24,2015,1053,5001,3002,4006,0.41
2018-01-24,2015,1054,5001,3002,4010,88.98999999999997
2018-01-24,2015,1067,5008,3002,4013,13.34
2018-01-24,2015,1073,5010,3002,4006,2.86
2018-01-24,2015,1074,5010,3002,4010,35.129999999999995
2018-01-24,2015,1075,5010,3002,4009,1.9
2018-01-24,2015,1077,5010,3002,4002,11.239999999999998
2018-01-24,2015,1078,5010,3002,4006,4.159999999999998
2018-01-24,2015,1080,5010,3002,4014,0.18
2018-01-24,2015,1081,5010,3002,4006,1.36
2018-01-24,2015,1083,5010,3002,4008,4.559999999999999
2018-01-24,2015,1089,5010,3002,4013,24.099999999999987
2018-01-24,2015,1090,5010,3002,4006,1.61
2018-01-24,2015,1091,5010,3002,4010,137.46000000000006
2018-02-24,2000,1001,5000,3002,4006,4.25
2018-02-24,2000,1003,5000,3002,4005,6.1000000000000005
2018-02-24,2000,1014,5000,3002,4008,1.86
2018-02-24,2000,1021,5000,3002,4006,0.11
2018-02-24,2000,1027,5001,3002,4014,3.0599999999999974
2018-02-24,2000,1029,5001,3002,4006,20.079999999999995
2018-02-24,2000,1031,5001,3002,4010,177.6200000000001
2018-02-24,2000,1034,5001,3002,4009,11.510000000000002
2018-02-24,2000,1037,5001,3002,4002,53.28999999999999
2018-02-24,2000,1038,5001,3002,4006,35.90000000000003
2018-02-24,2000,1040,5001,3002,4014,3.279999999999996
2018-02-24,2000,1042,5001,3002,4006,11.179999999999998
2018-02-24,2000,1044,5001,3002,4008,21.58000000000001
2018-02-24,2000,1045,5001,3002,4008,15.489999999999993
2018-02-24,2000,1049,5001,3002,4014,0.18
2018-02-24,2000,1051,5001,3002,4013,49.28
2018-02-24,2000,1052,5001,3002,4013,34.419999999999995
2018-02-24,2000,1054,5001,3002,4010,348.8400000000001
2018-02-24,2000,1067,5008,3002,4013,0.47
2018-02-24,2000,1074,5010,3002,4010,17.970000000000006
2018-02-24,2000,1077,5010,3002,4002,9.39
2018-02-24,2000,1091,5010,3002,4010,42.11000000000001
2018-02-24,2000,1143,5010,3003,4011,29.329999999999977
2018-02-24,2000,1144,5010,3003,4000,77.11000000000004
2018-02-24,2000,1145,5010,3003,4000,111.88
2018-02-24,2000,1146,5010,3003,4000,16.629999999999995
2018-02-24,2000,1154,5010,3003,4022,15.089999999999993
2018-02-24,2000,1156,5010,3003,4023,45.09000000000003
2018-02-24,2000,1184,5010,3003,4012,21.899999999999995
2018-02-24,2000,1186,5010,3003,4001,110.50000000000004
2018-02-24,2000,1193,5001,3000,4017,0.04
2018-02-24,2000,1194,5001,3000,4017,0.19
2018-02-24,2000,1208,5001,3000,4016,2.3
2018-02-24,2000,1210,5001,3000,4016,10.159999999999998
2018-02-24,2000,1214,5001,3000,4016,2.4199999999999995
2018-02-24,2000,1222,5001,3000,4016,1.16
2018-02-24,2001,1003,5000,3002,4005,2.65
2018-02-24,2001,1010,5000,3002,4013,2.41
2018-02-24,2001,1012,5000,3002,4008,0.72
2018-02-24,2001,1016,5000,3002,4013,1.23
2018-02-24,2001,1027,5001,3002,4014,0.4600000000000001
2018-02-24,2001,1029,5001,3002,4006,1.8500000000000003
2018-02-24,2001,1031,5001,3002,4010,4.340000000000002
2018-02-24,2001,1034,5001,3002,4009,4.06
2018-02-24,2001,1037,5001,3002,4002,4.0600000000000005
2018-02-24,2001,1040,5001,3002,4014,3.3399999999999994
2018-02-24,2001,1041,5001,3002,4014,3.06
2018-02-24,2001,1044,5001,3002,4008,3.0899999999999976
2018-02-24,2001,1048,5001,3002,4014,0.06000000000000001
2018-02-24,2001,1049,5001,3002,4014,0.11
2018-02-24,2001,1051,5001,3002,4013,7.98
2018-02-24,2001,1054,5001,3002,4010,43.759999999999984
2018-02-24,2001,1096,5001,3001,4003,6.65
2018-02-24,2001,1113,5001,3004,4021,0.30000000000000004
2018-02-24,2001,1117,5001,3004,4020,0.32
2018-02-24,2001,1118,5001,3004,4021,8.48
2018-02-24,2001,1120,5001,3004,4020,1.94
2018-02-24,2001,1157,5001,3003,4012,5.52
2018-02-24,2001,1159,5001,3003,4001,52.22000000000001
2018-02-24,2001,1167,5001,3003,4023,13.79
2018-02-24,2001,1169,5001,3003,4023,23.59
2018-02-24,2001,1171,5001,3003,4023,96.63000000000004
2018-02-24,2002,1003,5000,3002,4005,4.44
2018-02-24,2002,1012,5000,3002,4008,0.79
2018-02-24,2002,1027,5001,3002,4014,1.1900000000000004
2018-02-24,2002,1029,5001,3002,4006,3.76
2018-02-24,2002,1031,5001,3002,4010,16.049999999999994
2018-02-24,2002,1034,5001,3002,4009,7.460000000000001
2018-02-24,2002,1037,5001,3002,4002,63.85999999999999
2018-02-24,2002,1038,5001,3002,4006,18.28
2018-02-24,2002,1040,5001,3002,4014,1.8800000000000008
2018-02-24,2002,1042,5001,3002,4006,10.529999999999998
2018-02-24,2002,1044,5001,3002,4008,11.31
2018-02-24,2002,1045,5001,3002,4008,10.499999999999991
2018-02-24,2002,1047,5001,3002,4009,3.28
2018-02-24,2002,1048,5001,3002,4014,0.9400000000000004
2018-02-24,2002,1049,5001,3002,4014,0.01
2018-02-24,2002,1051,5001,3002,4013,12.050000000000002
2018-02-24,2002,1052,5001,3002,4013,22.669999999999995
2018-02-24,2002,1053,5001,3002,4006,12.759999999999994
2018-02-24,2002,1054,5001,3002,4010,218.09999999999997
2018-02-24,2002,1061,5007,3002,4005,2.29
2018-02-24,2002,1067,5008,3002,4013,2.8599999999999994
2018-02-24,2002,1071,5009,3002,4009,9.34
2018-02-24,2002,1089,5010,3002,4013,26.39000000000001
2018-02-24,2002,1091,5010,3002,4010,27.249999999999996
2018-02-24,2002,1157,5001,3003,4012,3.88
2018-02-24,2002,1159,5001,3003,4001,50.12000000000002
2018-02-24,2002,1167,5001,3003,4023,3.19
2018-02-24,2002,1169,5001,3003,4023,26.97999999999999
2018-02-24,2003,1027,5001,3002,4014,0.9700000000000002
2018-02-24,2003,1029,5001,3002,4006,2.21
2018-02-24,2003,1031,5001,3002,4010,11.19
2018-02-24,2003,1037,5001,3002,4002,1.61
2018-02-24,2003,1042,5001,3002,4006,3.53
2018-02-24,2003,1044,5001,3002,4008,0.85
2018-02-24,2003,1051,5001,3002,4013,1.04
2018-02-24,2003,1053,5001,3002,4006,1.02
2018-02-24,2003,1054,5001,3002,4010,64.69
2018-02-24,2003,1103,5001,3001,4018,0.48
2018-02-24,2003,1104,5001,3001,4018,0.5
2018-02-24,2003,1117,5001,3004,4020,0.2
2018-02-24,2003,1121,5001,3004,4020,0.39
2018-02-24,2003,1164,5001,3003,4023,2.4800000000000004
2018-02-24,2003,1167,5001,3003,4023,3.5500000000000003
2018-02-24,2003,1168,5001,3003,4023,8.48
2018-02-24,2003,1169,5001,3003,4023,72.15
2018-02-24,2003,1171,5001,3003,4023,2.3
2018-02-24,2003,1226,5001,3000,4015,0.69
2018-02-24,2003,1233,5010,3000,4015,0.11
2018-02-24,2003,1234,5010,3000,4015,0.25
2018-02-24,2003,1237,5010,3000,4015,3.77
2018-02-24,2003,1268,5001,3000,4015,1.92
2018-02-24,2004,1000,5000,3002,4014,0.11
2018-02-24,2004,1001,5000,3002,4006,0.17
2018-02-24,2004,1003,5000,3002,4005,5.0600000000000005
2018-02-24,2004,1010,5000,3002,4013,0.30000000000000004
2018-02-24,2004,1012,5000,3002,4008,1.83
2018-02-24,2004,1027,5001,3002,4014,3.4699999999999984
2018-02-24,2004,1029,5001,3002,4006,25.550000000000008
2018-02-24,2004,1031,5001,3002,4010,47.43
2018-02-24,2004,1034,5001,3002,4009,9.76
2018-02-24,2004,1037,5001,3002,4002,78.63000000000005
2018-02-24,2004,1038,5001,3002,4006,4.860000000000001
2018-02-24,2004,1040,5001,3002,4014,1.9200000000000008
2018-02-24,2004,1041,5001,3002,4014,0.16999999999999998
2018-02-24,2004,1042,5001,3002,4006,8.150000000000002
2018-02-24,2004,1044,5001,3002,4008,18.229999999999997
2018-02-24,2004,1048,5001,3002,4014,0.4
2018-02-24,2004,1051,5001,3002,4013,23.69000000000001
2018-02-24,2004,1053,5001,3002,4006,13.57
2018-02-24,2004,1054,5001,3002,4010,171.1200000000001
2018-02-24,2004,1060,5007,3002,4006,1.4400000000000002
2018-02-24,2004,1061,5007,3002,4005,21.770000000000003
2018-02-24,2004,1065,5007,3002,4010,7.6
2018-02-24,2004,1097,5001,3001,4003,0.88
2018-02-24,2004,1104,5001,3001,4018,8.5
2018-02-24,2004,1114,5001,3004,4020,0.06
2018-02-24,2004,1115,5001,3004,4021,0.06
2018-02-24,2004,1116,5001,3004,4019,0.13
2018-02-24,2004,1117,5001,3004,4020,0.07
2018-02-24,2004,1118,5001,3004,4021,0.6500000000000001
2018-02-24,2004,1120,5001,3004,4020,0.19
